1,1-1,創世記,1-2
2,1-2,創世記,3-5
3,1-3,創世記,6-9
4,1-4,創世記,10-11
5,1-5,創世記,12-14
6,1-6,創世記,15-16
7,1-7,創世記,17-18
8,1-8,創世記,19-21
9,1-9,創世記,22-24
10,1-10,創世記,25-26
11,1-11,創世記,27-31
12,1-12,創世記,32-36
13,1-13,創世記,37-38
14,1-14,創世記,39-40
15,1-15,創世記,41-44
16,1-16,創世記,45-47
17,1-17,創世記,48-50
18,1-18,出埃及記,1-2
19,1-19,出埃及記,3-6
20,1-20,出埃及記,7-8
21,1-21,出埃及記,9-10
22,1-22,出埃及記,11-12
23,1-23,出埃及記,13-15
24,1-24,出埃及記,16-18
25,1-25,出埃及記,19-20
26,1-26,出埃及記,21-24
27,1-27,出埃及記,25-26
28,1-28,出埃及記,27-28
29,1-29,出埃及記,29-31
30,1-30,出埃及記,32-34
31,1-31,出埃及記,35-40
32,2-1,利未記,1-3
33,2-2,利未記,4-7
34,2-3,利未記,8-9
35,2-4,利未記,10-12
36,2-5,利未記,13-15
37,2-6,利未記,16-17
38,2-7,利未記,18-20
39,2-8,利未記,21-23
40,2-9,利未記,24-27
41,2-10,民數記,1-3
42,2-11,民數記,4-5
43,2-12,民數記,6-8
44,2-13,民數記,9-12
45,2-14,民數記,13-16
46,2-15,民數記,17-20
47,2-16,民數記,21-25
48,2-17,民數記,26-28
49,2-18,民數記,29-30
50,2-19,民數記,31-33
51,2-20,民數記,34-36
52,2-21,申命記,1-4
53,2-22,申命記,5-7
54,2-23,申命記,8-11
55,2-24,申命記,12-16
56,2-25,申命記,17-20
57,2-26,申命記,21-26
58,2-27,申命記,27-30
59,2-28,申命記,31-34
60,2-29,,
61,3-1,約書亞記,1-5
62,3-2,約書亞記,6-8
63,3-3,約書亞記,9-11
64,3-4,約書亞記,12-13
65,3-5,約書亞記,14-17
66,3-6,約書亞記,28-21
67,3-7,約書亞記,22-24
68,3-8,士師記,1-5
69,3-9,士師記,6-8
70,3-10,士師記,9-11
71,3-11,士師記,12-13
72,3-12,士師記,14-16
73,3-13,士師記,17-21
74,3-14,路得記,1-4
75,3-15,撒母耳記上,1-3
76,3-16,撒母耳記上,4-8
77,3-17,撒母耳記上,9-10
78,3-18,撒母耳記上,11-12
79,3-19,撒母耳記上,13-15
80,3-20,撒母耳記上,16-19
81,3-21,撒母耳記上,20-23
82,3-22,撒母耳記上,24-26
83,3-23,撒母耳記上,27-31
